,movie,year,imdb,metascore,votes,n_imdb
2258,Oculus,2013,6.5,61,101749,60
2259,Ninfomaníaca: Volume 1,2013,7.0,64,100821,70
2260,The Call,2013,6.7,51,100447,60
2261,The Family,2013,6.3,42,99384,60
2262,Lee Daniels' The Butler,2013,7.2,66,99346,70
2263,Percy Jackson: Sea of Monsters,2013,5.9,39,98759,50
2264,Só Deus Perdoa,2013,5.7,37,96895,50
2265,Out of the Furnace,2013,6.8,63,95665,60
2266,Homefront,2013,6.5,40,95072,60
2267,Stoker,2013,6.8,58,94753,60
2268,Epic,2013,6.7,52,93203,60
2269,Safe Haven,2013,6.7,34,92511,60
2270,The Best Offer,2013,7.8,49,89884,70
2271,The Counsellor,2013,5.3,48,89595,50
2272,Filth,2013,7.1,56,89507,70
2273,Movie 43,2013,4.3,18,89454,40
2274,Jobs,2013,5.9,44,86383,50
2275,Philomena,2013,7.6,77,86204,70
2276,Bad Grandpa,2013,6.5,54,84016,60
2277,Coherence,2013,7.2,65,82092,70
2278,Beautiful Creatures,2013,6.2,52,77268,60
2279,August: Osage County,2013,7.2,58,76955,70
2280,Amantes Eternos,2013,7.3,79,76766,70
2281,Cloudy with a Chance of Meatballs 2,2013,6.4,59,76650,60
2282,The Bling Ring,2013,5.6,66,75667,50
2283,42,2013,7.5,62,75002,70
2284,Ninfomaníaca: Volume 2,2013,6.7,60,73987,60
2285,Snitch,2013,6.5,51,72811,60
2286,Turbo,2013,6.4,58,71231,60
2287,The Kings of Summer,2013,7.2,61,71032,70
2288,Broken City,2013,6.2,49,69955,60
2289,Short Term 12,2013,8.0,82,69095,80
2290,The Great Beauty,2013,7.8,86,68632,70
2291,Delivery Man,2013,6.4,44,68431,60
2292,All Is Lost,2013,6.9,87,68228,60
2293,Machete Mata,2013,5.6,41,67323,50
2294,Horns,2013,6.5,46,67280,60
2295,21 & Over,2013,5.9,34,66943,50
2296,The Incredible Burt Wonderstone,2013,5.9,44,65831,50
2297,Fruitvale Station,2013,7.5,85,65513,70
2298,Dark Skies,2013,6.3,50,64267,60
2299,What If,2013,6.8,59,62191,60
2300,Europa Report,2013,6.5,68,61080,60
2301,Oldboy,2013,5.8,49,60047,50
2302,Dead Man Down,2013,6.5,39,59881,60
2303,Redemption,2013,6.2,43,59096,60
2304,Scary Movie 5,2013,3.5,11,57309,30
2305,Vidas ao Vento,2013,7.8,83,57191,70
2306,Runner Runner,2013,5.6,36,56861,50
2307,Blue Ruin,2013,7.1,77,55473,70
2308,Enough Said,2013,7.0,78,54298,70
2309,Blackfish,2013,8.1,83,54297,80
2310,Grudge Match,2013,6.4,35,52251,60
2311,Drinking Buddies,2013,6.1,71,52188,60
2312,The Frozen Ground,2013,6.4,37,50149,60
2313,The East,2013,6.8,68,45733,60
2314,Ida,2013,7.4,91,43096,70
2315,The Big Wedding,2013,5.6,28,42869,50
2316,Bad Words,2013,6.7,57,42851,60
2317,Chennai Express,2013,6.0,45,42687,60
2318,The Double,2013,6.5,68,42346,60
2319,Odd Thomas,2013,6.9,45,42030,60
2320,Joe,2013,6.9,74,41373,60
2321,The Zero Theorem,2013,6.1,50,40548,60
2322,The Lunchbox,2013,7.8,76,40270,70
2323,A Colônia,2013,5.3,28,39442,50
2324,O Passado,2013,7.8,85,39389,70
2325,A Haunted House,2013,5.1,20,38903,50
2326,Planes,2013,5.7,39,38747,50
2327,Dhoom 3,2013,5.4,61,38631,50
2328,Starred Up,2013,7.4,81,37929,70
2329,Labor Day,2013,6.9,52,37312,60
2330,Interstellar,2014,8.6,74,1205886,80
2331,Guardians of the Galaxy,2014,8.1,76,870243,80
2332,Gone Girl,2014,8.1,79,717521,80
2333,Captain America: The Winter Soldier,2014,7.8,70,614070,70
2334,The Grand Budapest Hotel,2014,8.1,88,599409,80
2335,X-Men: Days of Future Past,2014,8.0,75,594068,80
2336,The Imitation Game,2014,8.0,73,585970,80
2337,Whiplash,2014,8.5,88,566943,80
2338,Edge of Tomorrow,2014,7.9,71,520821,70
2339,Kingsman: The Secret Service,2014,7.7,60,517253,70
2340,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,490266,70
2341,The Hobbit: The Battle of the Five Armies,2014,7.4,59,419784,70
2342,De Volta ao Jogo,2014,7.3,68,397466,70
2343,Ex Machina,2014,7.7,78,395536,70
2344,Divergent,2014,6.7,48,386775,60
2345,Lucy,2014,6.4,61,384935,60
2346,American Sniper,2014,7.3,72,383514,70
2347,Nightcrawler,2014,7.9,76,378872,70
2348,Dawn of the Planet of the Apes,2014,7.6,79,377312,70
2349,The Maze Runner,2014,6.8,57,371371,60
2350,The Amazing Spider-Man 2,2014,6.7,53,371293,60
2351,Fury,2014,7.6,64,363582,70
2352,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,361943,60
2353,Big Hero 6,2014,7.8,74,345361,70
2354,The Theory of Everything,2014,7.7,72,338080,70
2355,Godzilla,2014,6.4,62,335727,60
2356,Boyhood,2014,7.9,100,306560,70
2357,22 Jump Street,2014,7.0,71,305992,70
2358,The Fault in Our Stars,2014,7.8,69,299244,70
2359,Maleficent,2014,7.0,56,291299,70
2360,The Lego Movie,2014,7.8,83,289018,70
2361,The Equalizer,2014,7.2,57,278131,70
2362,The Interview,2014,6.6,52,277327,60
2363,Transformers: Age of Extinction,2014,5.7,32,274555,50
2364,How to Train Your Dragon 2,2014,7.8,76,257885,70
2365,Neighbors,2014,6.3,68,255686,60
2366,300: Rise of an Empire,2014,6.2,48,253483,60
2367,Non-Stop,2014,7.0,56,226527,70
2368,Noah,2014,5.8,68,221900,50
2369,Predestination,2014,7.5,69,213619,70
2370,RoboCop,2014,6.2,52,200453,60
2371,Transcendence,2014,6.3,42,197872,60
2372,Teenage Mutant Ninja Turtles,2014,5.8,31,187985,50
2373,It Follows,2014,6.8,83,167947,60
2374,Chef,2014,7.3,68,166517,70
2375,Dracula Untold,2014,6.3,40,159186,60
2376,O Babadook,2014,6.8,86,157812,60
2377,Busca Implacável 3,2014,6.0,26,157802,60
2378,The Judge,2014,7.4,48,157352,70
2379,A Million Ways to Die in the West,2014,6.1,44,154965,60
2380,Need for Speed,2014,6.5,39,150892,60
2381,The Expendables 3,2014,6.1,35,149728,60
2382,Exodus: Gods and Kings,2014,6.0,52,146407,60
2383,Relatos Selvagens,2014,8.1,77,138897,80
2384,Horrible Bosses 2,2014,6.3,40,137730,60
2385,Sin City: A Dame to Kill For,2014,6.5,46,134110,60
2386,Hercules,2014,6.0,47,131406,60
2387,The Drop,2014,7.1,69,126990,70
2388,Unbroken,2014,7.2,59,125029,70
2389,Foxcatcher,2014,7.0,81,122325,70
2390,The Purge: Anarchy,2014,6.5,50,119356,60
2391,Into the Woods,2014,6.0,69,118802,60
2392,Let's Be Cops,2014,6.5,30,118672,60
2393,The Other Woman,2014,6.0,39,118427,60
2394,The Monuments Men,2014,6.1,52,114261,60
2395,Dumb and Dumber To,2014,5.6,36,113283,50
2396,O que Fazemos nas Sombras,2014,7.6,76,111420,70
2397,Still Alice,2014,7.5,72,111067,70
2398,Annabelle,2014,5.4,37,111037,50
2399,Jack Ryan: Shadow Recruit,2014,6.2,57,110047,60
2400,Wild,2014,7.1,76,105713,70
2401,If I Stay,2014,6.8,46,102226,60
2402,Blended,2014,6.5,31,101929,60
2403,O Doador de Memórias,2014,6.5,47,101633,60
2404,A Walk Among the Tombstones,2014,6.5,57,100945,60
2405,The Raid 2,2014,8.0,71,99492,80
2406,I Origins,2014,7.4,57,99008,70
2407,Pompeia,2014,5.5,39,97065,50
2408,Sex Tape,2014,5.1,36,96660,50
2409,Simplesmente Acontece,2014,7.2,44,95485,70
2410,Ride Along,2014,6.2,41,90332,60
2411,That Awkward Moment,2014,6.2,36,88957,60
2412,St. Vincent,2014,7.3,64,86883,70
2413,Night at the Museum: Secret of the Tomb,2014,6.2,47,85588,60
2414,The Guest,2014,6.7,76,78826,60
2415,3 Days to Kill,2014,6.2,40,78712,60
2416,Inherent Vice,2014,6.7,81,78404,60
2417,Paddington,2014,7.2,77,75594,70
2418,Selma,2014,7.5,89,74563,70
2419,"I, Frankenstein",2014,5.1,30,73172,50
2420,Big Eyes,2014,7.0,62,72877,70
2421,Penguins of Madagascar,2014,6.7,53,69731,60
2422,Rio 2,2014,6.3,49,68539,60
2423,Frank,2014,7.0,75,67511,70
2424,The Hundred-Foot Journey,2014,7.3,55,65664,70
2425,A Most Wanted Man,2014,6.8,73,65653,60
2426,Seventh Son,2014,5.5,30,64514,50
2427,Promessas de Guerra,2014,7.1,50,64393,70
2428,This Is Where I Leave You,2014,6.6,44,62943,60
2429,"As Above, So Below",2014,6.2,38,61815,60
2430,Deliver Us from Evil,2014,6.2,40,61763,60
2431,Before I Go to Sleep,2014,6.3,41,60753,60
2432,Into the Storm,2014,5.8,44,59427,50
2433,Unfriended,2014,5.6,59,57966,50
2434,Two Night Stand,2014,6.4,45,57585,60
2435,The November Man,2014,6.3,38,57388,60
2436,The Gambler,2014,6.0,55,57227,60
2437,The Book of Life,2014,7.3,67,57011,70
2438,O Ano Mais Violento,2014,7.0,79,56952,70
2439,Magic in the Moonlight,2014,6.6,54,56829,60
2440,The Signal,2014,6.1,54,56686,60
2441,The Best of Me,2014,6.7,29,55808,60
2442,Mr. Peabody & Sherman,2014,6.8,59,55161,60
2443,Sabotage,2014,5.7,41,53948,50
2444,Calvário,2014,7.4,77,50358,70
2445,Automata,2014,6.1,37,49279,60
2446,The Legend of Hercules,2014,4.2,22,49247,40
2447,The Boxtrolls,2014,6.8,61,48930,60
2448,Vampire Academy,2014,5.5,31,47684,50
2449,Winter's Tale,2014,6.2,31,47524,60
2450,Walk of Shame,2014,6.0,25,46717,60
2451,Draft Day,2014,6.8,54,46505,60
2452,Citizenfour,2014,8.1,88,46215,80
2453,The Voices,2014,6.4,58,45562,60
2454,Veronica Mars,2014,6.8,62,45449,60
2455,The Cobbler,2014,5.8,23,45404,50
2456,Pride,2014,7.8,79,44570,70
2457,Prazeres Mortais,2014,6.3,24,44470,60
2458,'71,2014,7.2,83,44073,70
2459,Stonehearst Asylum,2014,6.8,52,43601,60
2460,Tammy,2014,4.9,39,42391,40
2461,Ouija: O Jogo dos Espíritos,2014,4.5,38,41982,40
2462,Leviathan,2014,7.6,92,40836,70
2463,Before We Go,2014,6.8,31,40399,60
2464,A Canção do Oceano,2014,8.1,85,40252,80
2465,Mommy,2014,8.1,74,40131,80
2466,Hector e a Procura da Felicidade,2014,7.0,29,40054,70
2467,Million Dollar Arm,2014,7.0,56,39977,70
2468,"Two Days, One Night",2014,7.4,89,39734,70
2469,While We're Young,2014,6.3,77,39332,60
2470,Kill the Messenger,2014,7.0,60,39144,70
2471,The Rover: A Caçada,2014,6.4,64,39058,60
2472,Tusk,2014,5.3,55,38445,50
2473,Laggies,2014,6.4,63,37313,60
2474,God's Not Dead,2014,4.8,16,36825,40
2475,Endless Love,2014,6.3,30,36508,60
2476,The Inbetweeners 2,2014,6.4,55,36501,60
2477,13° Distrito,2014,5.7,40,36381,50
2478,Paranormal Activity: The Marked Ones,2014,5.0,42,35877,50
2479,The Skeleton Twins,2014,6.8,74,35749,60
2480,Time Lapse,2014,6.5,50,35707,60
2481,Camp X-Ray,2014,6.9,54,35524,60
2482,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,35519,60
2483,Wish I Was Here,2014,6.7,43,33858,60
2484,Sono de Inverno,2014,8.2,88,33440,80
2485,Mapas para as Estrelas,2014,6.2,67,33366,60
2486,Goodnight Mommy,2014,6.7,81,32933,60
2487,Pawn Sacrifice,2014,7.0,65,32686,70
2488,Cake,2014,6.4,49,32063,60
2489,A Salvação,2014,6.7,64,31326,60
2490,Left Behind,2014,3.1,12,30982,30
2491,Love & Mercy,2014,7.4,80,30771,70
2492,Cold in July,2014,6.8,73,30666,60
2493,Black Sea,2014,6.4,62,30363,60
2494,Star Wars: The Force Awakens,2015,8.0,81,752153,80
2495,Mad Max: Fury Road,2015,8.1,90,731565,80
2496,The Martian,2015,8.0,80,633702,80
2497,Avengers: Age of Ultron,2015,7.4,66,602170,70
2498,The Revenant,2015,8.0,76,573635,80
2499,Jurassic World,2015,7.0,59,511836,70
2500,Inside Out,2015,8.2,94,496377,80
2501,Ant-Man,2015,7.3,64,447203,70
2502,The Hateful Eight,2015,7.8,68,401649,70
2503,Spectre,2015,6.8,60,337904,60
2504,Spotlight,2015,8.1,93,334910,80
2505,Furious 7,2015,7.2,67,324224,70
2506,Sicario,2015,7.6,82,301437,70
2507,Missão: Impossível - Nação Secreta,2015,7.4,75,291646,70
2508,The Big Short,2015,7.8,81,286665,70
2509,Room,2015,8.2,86,285559,80
2510,Fifty Shades of Grey,2015,4.1,46,267450,40
2511,Bridge of Spies,2015,7.6,81,249068,70
2512,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,234699,60
2513,The Man from U.N.C.L.E.,2015,7.3,56,229238,70
2514,Terminator Genisys,2015,6.5,38,224635,60
2515,Chappie,2015,6.8,41,206167,60
2516,Spy,2015,7.0,75,205964,70
2517,Creed,2015,7.6,82,200664,70
2518,Insurgent,2015,6.2,42,190219,60
2519,Nocaute,2015,7.4,57,189963,70
2520,Maze Runner: The Scorch Trials,2015,6.3,43,189251,60
2521,Focus,2015,6.6,56,183566,60
2522,Minions,2015,6.4,56,182255,60
2523,The Intern,2015,7.1,51,181454,70
2524,San Andreas,2015,6.1,43,179474,60
2525,Everest,2015,7.1,64,173137,70
2526,Jupiter Ascending,2015,5.3,40,160915,50
2527,O Lagosta,2015,7.1,82,158424,70
2528,Straight Outta Compton,2015,7.9,72,158309,70
2529,Tomorrowland,2015,6.5,60,156203,60
2530,Ted 2,2015,6.3,48,155815,60
2531,Black Mass,2015,6.9,68,149853,60
2532,The Danish Girl,2015,7.1,66,135242,70
2533,Fantastic Four,2015,4.3,27,134578,40
2534,The Witch,2015,6.8,83,134002,60
2535,Cinderella,2015,6.9,67,133220,60
2536,Steve Jobs,2015,7.2,82,132597,70
2537,The Age of Adaline,2015,7.2,51,129711,70
2538,Legend,2015,7.0,55,128920,70
2539,Pitch Perfect 2,2015,6.4,63,123790,60
2540,Trainwreck,2015,6.2,75,117517,60
2541,The Gift,2015,7.1,77,115722,70
2542,Pixels,2015,5.6,27,113995,50
2543,Crimson Peak,2015,6.5,66,113667,60
2544,Joy,2015,6.6,56,111831,60
2545,Brooklyn,2015,7.5,87,110178,70
2546,Me and Earl and the Dying Girl,2015,7.8,74,106861,70
2547,Get Hard,2015,6.0,34,105779,60
2548,The Walk,2015,7.3,70,104564,70
2549,In the Heart of the Sea,2015,6.9,47,103113,60
2550,The Visit,2015,6.2,55,95725,60
2551,Carol,2015,7.2,95,92681,70
2552,Run All Night,2015,6.6,59,90372,60
2553,Burnt,2015,6.6,42,89850,60
2554,Daddy's Home,2015,6.1,42,89591,60
2555,The Good Dinosaur,2015,6.7,66,87125,60
2556,Hotel Transylvania 2,2015,6.7,44,83650,60
2557,Vacation,2015,6.1,34,83358,60
2558,Paper Towns,2015,6.3,56,83342,60
2559,Home,2015,6.6,55,83019,60
2560,The Last Witch Hunter,2015,6.0,34,81345,60
2561,Green Room,2015,7.0,79,80515,70
2562,Hitman: Agent 47,2015,5.7,28,77424,50
2563,Self/less,2015,6.5,34,76584,60
2564,Sobrenatural: A Origem,2015,6.1,52,76528,60
2565,Dope,2015,7.2,72,74096,70
2566,Concussion,2015,7.1,55,73160,70
2567,American Ultra,2015,6.1,50,72907,60
2568,Hardcore: Missão Extrema,2015,6.7,51,72426,60
2569,Demolition,2015,7.0,49,72207,70
2570,Entourage,2015,6.6,38,69350,60
2571,Project Almanac,2015,6.4,47,69006,60
2572,Eye in the Sky,2015,7.3,73,68981,70
2573,The Duff,2015,6.5,56,68082,60
2574,No Escape,2015,6.8,38,66610,60
2575,The Longest Ride,2015,7.1,33,66485,70
2576,Goosebumps,2015,6.3,60,66041,60
2577,Trumbo,2015,7.5,60,65837,70
2578,The Wedding Ringer,2015,6.7,35,64626,60
2579,Knock Knock,2015,4.9,53,63971,40
2580,Bone Tomahawk,2015,7.1,72,61457,70
2581,Juventude,2015,7.3,64,60926,70
2582,The Invitation,2015,6.7,74,59849,60
2583,Beasts of No Nation,2015,7.8,79,58807,70
2584,Mortdecai,2015,5.5,27,57977,50
2585,Sisters,2015,6.0,58,56740,60
2586,Mr. Holmes,2015,6.9,67,55804,60
2587,Crimes Ocultos,2015,6.5,41,55574,60
2588,Anomalisa,2015,7.3,88,54281,70
2589,The Night Before,2015,6.4,58,54153,60
2590,Pan,2015,5.8,36,53443,50
2591,Caçadores de Emoção: Além do Limite,2015,5.3,34,51075,50
2592,Krampus,2015,6.2,49,50589,60
2593,Aloha,2015,5.4,40,49951,50
2594,Poltergeist,2015,4.9,47,49853,40
2595,Irrational Man,2015,6.6,53,47374,60
2596,Macbeth,2015,6.6,71,46982,60
2597,Blackhat,2015,5.4,51,46925,50
2598,True Story,2015,6.3,50,46837,60
2599,O Pequeno Príncipe,2015,7.8,70,46700,70
2600,Magic Mike XXL,2015,5.6,60,46666,50
2601,Woman in Gold,2015,7.3,51,45907,70
2602,Solace,2015,6.4,36,45827,60
2603,Victor Frankenstein,2015,6.0,36,44595,60
2604,Wild Card,2015,5.6,40,44135,50
2605,Hot Pursuit,2015,5.1,31,43037,50
2606,A Vingança Está na Moda,2015,7.1,47,42887,70
2607,Man Up,2015,6.8,69,41735,60
2608,Amy,2015,7.8,85,41473,70
2609,Victoria,2015,7.7,77,41450,70
2610,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,41249,60
2611,The Man Who Knew Infinity,2015,7.2,56,39667,70
2612,Far from the Madding Crowd,2015,7.1,71,39026,70
2613,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,38265,60
2614,Sinister 2,2015,5.3,32,38186,50
2615,The Colony,2015,7.1,33,38072,70
2616,Mr. Right,2015,6.3,52,37962,60
2617,The Peanuts Movie,2015,7.1,67,37580,70
2618,Maggie,2015,5.6,52,37329,50
2619,O Filho de Saul,2015,7.5,89,36274,70
2620,Dark Places,2015,6.2,39,36230,60
2621,Slow West,2015,6.9,72,35820,60
2622,The Ridiculous 6,2015,4.8,18,35727,40
2623,O Grande Mestre 3,2015,7.1,57,35566,70
2624,The Lazarus Effect,2015,5.2,31,35061,50
2625,Carga Explosiva: O Legado,2015,5.2,32,34639,50
2626,The Gunman,2015,5.8,39,34488,50
2627,Secret in Their Eyes,2015,6.3,45,34425,60
2628,Last Knights,2015,6.2,27,34219,60
2629,A Man Called Ove,2015,7.7,70,34004,70
2630,Sleeping with Other People,2015,6.5,64,33768,60
2631,The Boy Next Door,2015,4.7,30,33350,40
2632,Hot Tub Time Machine 2,2015,5.1,29,33245,50
2633,Going Clear: Scientology & the Prison of Belief,2015,8.0,80,32786,80
2634,Suffragette,2015,6.9,67,32020,60
2635,Absolutely Anything,2015,6.0,31,31815,60
2636,High-Rise,2015,5.6,65,31569,50
2637,Regressão,2015,5.7,32,31344,50
2638,Love,2015,6.0,51,31009,60
2639,Shaun the Sheep Movie,2015,7.4,81,30953,70
2640,Os 33,2015,6.9,55,30691,60
2641,We Are Your Friends,2015,6.2,46,30363,60
2642,"McFarland, USA",2015,7.4,60,29905,70
2643,The Stanford Prison Experiment,2015,6.9,67,29651,60
2644,Paul Blart: Mall Cop 2,2015,4.4,13,29379,40
2645,Cinco Graças,2015,7.6,83,28679,70
2646,The Final Girls,2015,6.6,59,28129,60
2647,The Second Best Exotic Marigold Hotel,2015,6.6,51,27637,60
2648,Deadpool,2016,8.0,65,759181,80
2649,Batman v Superman: Dawn of Justice,2016,6.6,44,544601,60
2650,Captain America: Civil War,2016,7.8,75,520707,70
2651,Suicide Squad,2016,6.1,40,491585,60
2652,Arrival,2016,7.9,81,466811,70
2653,Doctor Strange,2016,7.5,72,445331,70
2654,Rogue One: A Star Wars Story,2016,7.8,65,439862,70
2655,La La Land,2016,8.1,93,390214,80
2656,Zootopia,2016,8.0,78,353930,80
2657,Até o Último Homem,2016,8.2,71,332307,80
2658,X-Men: Apocalypse,2016,7.0,52,328064,70
2659,Fantastic Beasts and Where to Find Them,2016,7.4,66,314418,70
2660,Split,2016,7.3,62,281948,70
2661,Passengers,2016,7.0,41,281768,70
2662,10 Cloverfield Lane,2016,7.2,76,243850,70
2663,The Jungle Book,2016,7.4,77,229294,70
2664,The Nice Guys,2016,7.4,70,221691,70
2665,The Accountant,2016,7.4,51,216818,70
2666,Warcraft: The Beginning,2016,6.9,32,215193,60
2667,Moonlight,2016,7.4,99,202698,70
2668,Moana,2016,7.6,81,200545,70
2669,Star Trek: Beyond,2016,7.1,68,199148,70
2670,Finding Dory,2016,7.3,77,197956,70
2671,Now You See Me 2,2016,6.5,46,196872,60
2672,Manchester by the Sea,2016,7.8,96,195009,70
2673,Nocturnal Animals,2016,7.5,67,184315,70
2674,Sully,2016,7.5,74,183812,70
2675,Jason Bourne,2016,6.6,58,179780,60
2676,Ghostbusters: Answer the Call,2016,5.3,60,175394,50
2677,The Conjuring 2,2016,7.4,65,173115,70
2678,Don't Breathe,2016,7.1,71,168446,70
2679,Lion,2016,8.1,69,165156,80
2680,A Promessa,2016,6.1,49,162287,60
2681,Hell or High Water,2016,7.6,88,159352,70
2682,The Magnificent Seven,2016,6.9,54,157505,60
2683,Assassin's Creed,2016,5.8,36,155961,50
2684,Hidden Figures,2016,7.8,74,155376,70
2685,Me Before You,2016,7.4,51,152020,70
2686,Pets: A Vida Secreta dos Bichos,2016,6.5,61,149457,60
2687,Sausage Party,2016,6.2,66,149047,60
2688,Independence Day: Resurgence,2016,5.2,32,148092,50
2689,Captain Fantastic,2016,7.9,72,144894,70
2690,The Legend of Tarzan,2016,6.3,44,141613,60
2691,War Dogs,2016,7.1,57,141168,70
2692,The Girl on the Train,2016,6.5,48,138379,60
2693,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,131690,60
2694,Inferno,2016,6.2,42,127175,60
2695,Central Intelligence,2016,6.3,52,124881,60
2696,Horizonte Profundo: Desastre no Golfo,2016,7.1,68,123536,70
2697,London Has Fallen,2016,5.9,28,117418,50
2698,Allied,2016,7.1,60,114451,70
2699,Jack Reacher: Sem Retorno,2016,6.1,47,109749,60
2700,Snowden: Herói ou Traidor,2016,7.3,58,108221,70
2701,Kung Fu Panda 3,2016,7.1,66,106349,70
2702,Your Name.,2016,8.4,79,105901,80
2703,"Hail, Caesar!",2016,6.3,72,105013,60
2704,Sing: Quem Canta Seus Males Espanta,2016,7.1,59,102744,70
2705,The Great Wall,2016,6.0,42,101759,60
2706,The Shallows,2016,6.3,59,99748,60
2707,Kubo and the Two Strings,2016,7.8,84,96587,70
2708,13 Hours,2016,7.3,48,96168,70
2709,Nerve,2016,6.6,58,95208,60
2710,Neighbors 2: Sorority Rising,2016,5.7,58,95075,50
2711,Invasão Zumbi,2016,7.5,72,94178,70
2712,Dirty Grandpa,2016,5.9,21,94120,50
2713,Bad Moms,2016,6.2,60,93073,60
2714,Lights Out,2016,6.3,58,92434,60
2715,Gods of Egypt,2016,5.4,25,88864,50
2716,Allegiant,2016,5.7,33,87490,50
2717,The Founder,2016,7.2,66,86005,70
2718,The 5th Wave,2016,5.2,33,85875,50
2719,Swiss Army Man,2016,7.0,64,83360,70
2720,Why Him?,2016,6.2,39,82986,60
2721,Money Monster,2016,6.5,55,82002,60
2722,The Huntsman: Winter's War,2016,6.1,35,81319,60
2723,A Incrível Aventura de Rick Baker,2016,7.9,81,78454,70
2724,Silêncio,2016,7.2,79,78239,70
2725,Fences,2016,7.2,79,78196,70
2726,The Brothers Grimsby,2016,6.2,44,77145,60
2727,The Edge of Seventeen,2016,7.4,77,76051,70
2728,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,73056,60
2729,Alice Through the Looking Glass,2016,6.2,34,72838,60
2730,The Purge: Election Year,2016,6.0,55,72079,60
2731,Collateral Beauty,2016,6.8,23,71362,60
2732,Mike and Dave Need Wedding Dates,2016,6.0,51,69930,60
2733,How to Be Single,2016,6.1,51,69889,60
2734,Eddie the Eagle,2016,7.4,54,69827,70
2735,Sing Street: Música e Sonho,2016,8.0,79,69086,80
2736,O Dia do Atentado,2016,7.4,69,68853,70
2737,Resident Evil: The Final Chapter,2016,5.6,49,68751,50
2738,Demônio de Neon,2016,6.2,51,66647,60
2739,Hush,2016,6.6,67,66341,60
2740,The Angry Birds Movie,2016,6.3,43,66091,60
2741,A Criada,2016,8.1,84,65652,80
2742,Midnight Special,2016,6.6,76,65118,60
2743,The BFG,2016,6.4,66,64700,60
2744,The Autopsy of Jane Doe,2016,6.8,65,64453,60
2745,A Monster Calls,2016,7.5,76,64375,70
2746,A Cure for Wellness,2016,6.4,47,63671,60
2747,Boneco do Mal,2016,6.0,42,63621,60
2748,Assassino à Preço Fixo 2: A Ressurreição,2016,5.7,38,61806,50
2749,Jackie,2016,6.7,81,61392,60
2750,The Lost City of Z,2016,6.6,78,60127,60
2751,Trolls,2016,6.5,56,58799,60
2752,Café Society,2016,6.6,64,58140,60
2753,Underworld: Blood Wars,2016,5.8,23,58094,50
2754,The Infiltrator,2016,7.0,66,57798,70
2755,Triple 9,2016,6.3,52,57219,60
2756,Zoolander 2,2016,4.7,34,57145,40
2757,Bridget Jones's Baby,2016,6.6,59,55019,60
2758,The Finest Hours,2016,6.8,58,53095,60
2759,Office Christmas Party,2016,5.8,42,50526,50
2760,Elle,2016,7.2,89,50378,70
2761,Herança de Sangue,2016,6.4,66,49047,60
2762,Paterson,2016,7.4,90,48727,70
2763,Criminal,2016,6.3,36,48311,60
2764,Keeping Up with the Joneses,2016,5.9,34,48069,50
2765,Storks,2016,6.8,56,47113,60
2766,Pete's Dragon,2016,6.7,71,46577,60
2767,Colossal,2016,6.2,70,45932,60
2768,Gold,2016,6.7,49,45734,60
2769,Ride Along 2,2016,5.9,32,45553,50
2770,Everybody Wants Some!!,2016,7.0,83,45410,70
2771,Armas na Mesa,2016,7.5,64,45161,70
2772,Ice Age: Collision Course,2016,5.7,34,44295,50
2773,Whiskey Tango Foxtrot,2016,6.6,57,44153,60
2774,Live by Night,2016,6.4,49,43518,60
2775,Raw,2016,7.0,81,43029,70
2776,The Fundamentals of Caring,2016,7.3,55,42982,70
2777,Pride and Prejudice and Zombies,2016,5.8,45,42827,50
2778,Ouija: Origin of Evil,2016,6.1,65,42601,60
2779,Popstar: Never Stop Never Stopping,2016,6.7,68,42330,60
2780,Masterminds,2016,5.8,47,41691,50
2781,Florence Foster Jenkins,2016,6.9,71,41680,60
2782,The Girl with All the Gifts,2016,6.7,67,41470,60
2783,The Light Between Oceans,2016,7.2,60,41434,70
2784,Free State of Jones,2016,6.9,53,40261,60
2785,"I, Daniel Blake",2016,7.9,78,39511,70
2786,Keanu,2016,6.3,63,38976,60
2787,O Apartamento,2016,7.8,85,36497,70
2788,The Boss,2016,5.4,40,36361,50
2789,Ben-Hur,2016,5.7,38,35629,50
2790,Toni Erdmann,2016,7.4,93,35306,70
2791,Imperium,2016,6.5,68,35240,60
2792,Operação Anthropoid,2016,7.2,59,34868,70
2793,The Belko Experiment,2016,6.1,44,34640,60
2794,The Forest,2016,4.8,34,34488,40
2795,Bruxa de Blair,2016,5.0,47,34187,50
2796,Meet the Blacks,2016,6.1,26,33564,60
2797,A Hologram for the King,2016,6.1,58,33285,60
2798,Morgan,2016,5.8,48,32874,50
2799,Free Fire,2016,6.4,63,32388,60
2800,The Do-Over,2016,5.7,22,30510,50
2801,The Wailing,2016,7.4,81,29918,70
2802,Raça,2016,7.1,56,28947,70
2803,Before I Wake,2016,6.2,68,28933,60
2804,20th Century Women,2016,7.4,83,28487,70
2805,American Honey,2016,7.0,79,28357,70
2806,The Take,2016,6.3,48,28342,60
